Partlist

Exported from Motor_Test_Bench.brd at 05-06-20 10:19

EAGLE Version 9.5.0 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part     Value                                                                                    Package                                      Library                                   Position (mil)        Orientation
R29      1k                                                                                       0204/7                                       resistor                                  (300 2225)            R90
R30      10k                                                                                      R0805                                        resistor                                  (2818.75 1118.75)     MR0
R31      82k                                                                                      R0805                                        resistor                                  (2725 2337.5)         MR270
R32      560k                                                                                     R0805                                        resistor                                  (3037.5 2337.5)       MR270
R33      82k                                                                                      R0805                                        resistor                                  (3200 2337.5)         MR270
R34      10k                                                                                      M0805                                        resistor                                  (3212.5 3512.5)       MR270
R35      10k                                                                                      M0805                                        resistor                                  (3300 3512.5)         MR270
R36      10k                                                                                      M0805                                        resistor                                  (3125 3512.5)         MR270
R37      10k                                                                                      M0805                                        resistor                                  (2931.25 3512.5)      MR270
R38      10k                                                                                      R0805                                        resistor                                  (2750 2581.25)        MR270
R39      10k                                                                                      M0805                                        resistor                                  (3025 3512.5)         MR90
R40      1k2                                                                                      R0805                                        resistor                                  (3037.5 1850)         MR90
R41      470k                                                                                     R0805                                        resistor                                  (3200 1850)           MR270
R42      470k                                                                                     R0805                                        resistor                                  (3200 2037.5)         MR90
R43      1k2                                                                                      R0805                                        resistor                                  (3037.5 2037.5)       MR270
R44      1k                                                                                       0204/7                                       resistor                                  (300 612.5)           R270
R45      0R05                                                                                     RS05_69-70                                   resistor-power                            (1037.5 187.5)        R0
R46      10k                                                                                      0204/7                                       resistor                                  (1150 1962.5)         R0
R47      1k                                                                                       0204/7                                       resistor                                  (300 1450)            R270
R48      10k                                                                                      0204/7                                       resistor                                  (1150 2062.5)         R0
R49      10k                                                                                      M0805                                        resistor                                  (3000 2581.25)        MR270
R50      10k                                                                                      M0805                                        resistor                                  (3081.25 2581.25)     MR270
R51      10k                                                                                      M0805                                        resistor                                  (2837.5 2581.25)      MR270
R52      10k                                                                                      M0805                                        resistor                                  (2918.75 2581.25)     MR270
S1       1825910-6                                                                                1825910-6                                    SamacSys_Parts                            (3312.5 987.5)        R0
S2       1825910-6                                                                                1825910-6                                    SamacSys_Parts                            (2637.5 2787.5)       R180
U1       FT232RL                                                                                  SSOP28DB                                     SparkFun-IC-Comms                         (4543.75 981.25)      MR90
U2       ON_SEMI_LM317BTGON_SEMI_LM317BTG_0_0                                                     ON_SEMI_LM317BTG_0                           ON Semi - LM317BTG                        (4606.25 343.75)      R0
U3       NATIONAL_SEMICONDUCTOR_LM1117IMPX-3.3-NOPBNATIONAL_SEMICONDUCTOR_LM1117IMPX-3.3-NOPB_0_2 NATIONAL_SEMICONDUCTOR_LM1117IMPX-3.3-NOPB_2 LM1117IMPX                                (3693.75 756.25)      MR180
